기준년월,광역지자체,방문자 구분,방문자 수
20230101,광주광역시,현지인방문자(a),672164.0
20230101,광주광역시,외지인방문자(b),166030.0
20230101,광주광역시,외국인방문자(c),91.0
20230102,광주광역시,현지인방문자(a),749595.0
20230102,광주광역시,외지인방문자(b),125972.0
20230102,광주광역시,외국인방문자(c),92.0
20230103,광주광역시,현지인방문자(a),755097.0
20230103,광주광역시,외지인방문자(b),123596.0
20230103,광주광역시,외국인방문자(c),84.0
20230104,광주광역시,현지인방문자(a),763539.0
20230104,광주광역시,외지인방문자(b),124632.0
20230104,광주광역시,외국인방문자(c),80.0
20230105,광주광역시,현지인방문자(a),760508.0
20230105,광주광역시,외지인방문자(b),130442.0
20230105,광주광역시,외국인방문자(c),85.0
20230106,광주광역시,현지인방문자(a),773258.0
20230106,광주광역시,외지인방문자(b),155326.0
20230106,광주광역시,외국인방문자(c),76.0
20230107,광주광역시,현지인방문자(a),715418.0
20230107,광주광역시,외지인방문자(b),205726.0
20230107,광주광역시,외국인방문자(c),78.0
20230108,광주광역시,현지인방문자(a),684064.0
20230108,광주광역시,외지인방문자(b),171521.0
20230108,광주광역시,외국인방문자(c),65.0
20230109,광주광역시,현지인방문자(a),752636.0
20230109,광주광역시,외지인방문자(b),137760.0
20230109,광주광역시,외국인방문자(c),70.0
20230110,광주광역시,현지인방문자(a),759098.0
20230110,광주광역시,외지인방문자(b),140760.0
20230110,광주광역시,외국인방문자(c),76.0
20230111,광주광역시,현지인방문자(a),764197.0
20230111,광주광역시,외지인방문자(b),143476.0
20230111,광주광역시,외국인방문자(c),71.0
20230112,광주광역시,현지인방문자(a),758800.0
20230112,광주광역시,외지인방문자(b),146850.0
20230112,광주광역시,외국인방문자(c),72.0
20230113,광주광역시,현지인방문자(a),761733.0
20230113,광주광역시,외지인방문자(b),164157.0
20230113,광주광역시,외국인방문자(c),70.0
20230114,광주광역시,현지인방문자(a),722708.0
20230114,광주광역시,외지인방문자(b),209968.0
20230114,광주광역시,외국인방문자(c),60.0
20230115,광주광역시,현지인방문자(a),683112.0
20230115,광주광역시,외지인방문자(b),176264.0
20230115,광주광역시,외국인방문자(c),58.0
20230116,광주광역시,현지인방문자(a),755010.0
20230116,광주광역시,외지인방문자(b),149338.0
20230116,광주광역시,외국인방문자(c),69.0
20230117,광주광역시,현지인방문자(a),761618.0
20230117,광주광역시,외지인방문자(b),155124.0
20230117,광주광역시,외국인방문자(c),73.0
20230118,광주광역시,현지인방문자(a),769671.0
20230118,광주광역시,외지인방문자(b),157384.0
20230118,광주광역시,외국인방문자(c),72.0
20230119,광주광역시,현지인방문자(a),770570.0
20230119,광주광역시,외지인방문자(b),172386.0
20230119,광주광역시,외국인방문자(c),77.0
20230120,광주광역시,현지인방문자(a),775033.0
20230120,광주광역시,외지인방문자(b),236534.0
20230120,광주광역시,외국인방문자(c),85.0
20230121,광주광역시,현지인방문자(a),629174.0
20230121,광주광역시,외지인방문자(b),343704.0
20230121,광주광역시,외국인방문자(c),85.0
20230122,광주광역시,현지인방문자(a),568522.0
20230122,광주광역시,외지인방문자(b),401950.0
20230122,광주광역시,외국인방문자(c),82.0
20230123,광주광역시,현지인방문자(a),609833.0
20230123,광주광역시,외지인방문자(b),350354.0
20230123,광주광역시,외국인방문자(c),86.0
20230124,광주광역시,현지인방문자(a),617351.0
20230124,광주광역시,외지인방문자(b),205370.0
20230124,광주광역시,외국인방문자(c),84.0
20230125,광주광역시,현지인방문자(a),740208.0
20230125,광주광역시,외지인방문자(b),165473.0
20230125,광주광역시,외국인방문자(c),85.0
20230126,광주광역시,현지인방문자(a),749455.0
20230126,광주광역시,외지인방문자(b),161732.0
20230126,광주광역시,외국인방문자(c),90.0
20230127,광주광역시,현지인방문자(a),759591.0
20230127,광주광역시,외지인방문자(b),175850.0
20230127,광주광역시,외국인방문자(c),82.0
20230128,광주광역시,현지인방문자(a),715974.0
20230128,광주광역시,외지인방문자(b),209604.0
20230128,광주광역시,외국인방문자(c),78.0
20230129,광주광역시,현지인방문자(a),693042.0
20230129,광주광역시,외지인방문자(b),184387.0
20230129,광주광역시,외국인방문자(c),69.0
20230130,광주광역시,현지인방문자(a),759290.0
20230130,광주광역시,외지인방문자(b),163401.0
20230130,광주광역시,외국인방문자(c),75.0
20230131,광주광역시,현지인방문자(a),671545.0
