기준년월,광역지자체,방문자 구분,방문자 수
20240401,대구광역시,현지인방문자(a),1205964.0
20240401,대구광역시,외지인방문자(b),196088.0
20240401,대구광역시,외국인방문자(c),1910.0
20240402,대구광역시,현지인방문자(a),1202926.0
20240402,대구광역시,외지인방문자(b),195811.0
20240402,대구광역시,외국인방문자(c),1873.0
20240403,대구광역시,현지인방문자(a),1180330.0
20240403,대구광역시,외지인방문자(b),190998.0
20240403,대구광역시,외국인방문자(c),2012.0
20240404,대구광역시,현지인방문자(a),1187970.0
20240404,대구광역시,외지인방문자(b),206350.0
20240404,대구광역시,외국인방문자(c),2115.0
20240405,대구광역시,현지인방문자(a),1216159.0
20240405,대구광역시,외지인방문자(b),255493.0
20240405,대구광역시,외국인방문자(c),1941.0
20240406,대구광역시,현지인방문자(a),1142480.0
20240406,대구광역시,외지인방문자(b),374434.0
20240406,대구광역시,외국인방문자(c),1672.0
20240407,대구광역시,현지인방문자(a),1098251.0
20240407,대구광역시,외지인방문자(b),326196.0
20240407,대구광역시,외국인방문자(c),1650.0
20240408,대구광역시,현지인방문자(a),1180431.0
20240408,대구광역시,외지인방문자(b),206832.0
20240408,대구광역시,외국인방문자(c),1502.0
20240409,대구광역시,현지인방문자(a),1194190.0
20240409,대구광역시,외지인방문자(b),226720.0
20240409,대구광역시,외국인방문자(c),1395.0
20240410,대구광역시,현지인방문자(a),1131613.0
20240410,대구광역시,외지인방문자(b),255843.0
20240410,대구광역시,외국인방문자(c),1250.0
20240411,대구광역시,현지인방문자(a),1168052.0
20240411,대구광역시,외지인방문자(b),219667.0
20240411,대구광역시,외국인방문자(c),1411.0
20240412,대구광역시,현지인방문자(a),1210766.0
20240412,대구광역시,외지인방문자(b),266420.0
20240412,대구광역시,외국인방문자(c),1583.0
20240413,대구광역시,현지인방문자(a),1113245.0
20240413,대구광역시,외지인방문자(b),382893.0
20240413,대구광역시,외국인방문자(c),1407.0
20240414,대구광역시,현지인방문자(a),1075977.0
20240414,대구광역시,외지인방문자(b),340697.0
20240414,대구광역시,외국인방문자(c),1313.0
20240415,대구광역시,현지인방문자(a),1143786.0
20240415,대구광역시,외지인방문자(b),221862.0
20240415,대구광역시,외국인방문자(c),1292.0
20240416,대구광역시,현지인방문자(a),1157905.0
20240416,대구광역시,외지인방문자(b),226737.0
20240416,대구광역시,외국인방문자(c),1482.0
20240417,대구광역시,현지인방문자(a),1162886.0
20240417,대구광역시,외지인방문자(b),232176.0
20240417,대구광역시,외국인방문자(c),1322.0
20240418,대구광역시,현지인방문자(a),1155735.0
20240418,대구광역시,외지인방문자(b),238976.0
20240418,대구광역시,외국인방문자(c),1446.0
20240419,대구광역시,현지인방문자(a),1178289.0
20240419,대구광역시,외지인방문자(b),280242.0
20240419,대구광역시,외국인방문자(c),1467.0
20240420,대구광역시,현지인방문자(a),1097408.0
