기준년월,광역지자체,방문자 구분,방문자 수
20230601,대전광역시,현지인방문자(a),731944.0
20230601,대전광역시,외지인방문자(b),157185.0
20230601,대전광역시,외국인방문자(c),428.0
20230602,대전광역시,현지인방문자(a),735374.0
20230602,대전광역시,외지인방문자(b),190582.0
20230602,대전광역시,외국인방문자(c),367.0
20230603,대전광역시,현지인방문자(a),657888.0
20230603,대전광역시,외지인방문자(b),286254.0
20230603,대전광역시,외국인방문자(c),301.0
20230604,대전광역시,현지인방문자(a),631782.0
20230604,대전광역시,외지인방문자(b),258772.0
20230604,대전광역시,외국인방문자(c),314.0
20230605,대전광역시,현지인방문자(a),710524.0
20230605,대전광역시,외지인방문자(b),202422.0
20230605,대전광역시,외국인방문자(c),336.0
20230606,대전광역시,현지인방문자(a),650965.0
20230606,대전광역시,외지인방문자(b),206538.0
20230606,대전광역시,외국인방문자(c),332.0
20230607,대전광역시,현지인방문자(a),731570.0
20230607,대전광역시,외지인방문자(b),160240.0
20230607,대전광역시,외국인방문자(c),470.0
20230608,대전광역시,현지인방문자(a),726456.0
20230608,대전광역시,외지인방문자(b),170258.0
20230608,대전광역시,외국인방문자(c),436.0
20230609,대전광역시,현지인방문자(a),731276.0
20230609,대전광역시,외지인방문자(b),198790.0
20230609,대전광역시,외국인방문자(c),446.0
20230610,대전광역시,현지인방문자(a),658186.0
20230610,대전광역시,외지인방문자(b),287886.0
20230610,대전광역시,외국인방문자(c),376.0
20230611,대전광역시,현지인방문자(a),639261.0
20230611,대전광역시,외지인방문자(b),229960.0
20230611,대전광역시,외국인방문자(c),380.0
20230612,대전광역시,현지인방문자(a),722554.0
20230612,대전광역시,외지인방문자(b),177502.0
20230612,대전광역시,외국인방문자(c),448.0
20230613,대전광역시,현지인방문자(a),727122.0
20230613,대전광역시,외지인방문자(b),185514.0
20230613,대전광역시,외국인방문자(c),490.0
20230614,대전광역시,현지인방문자(a),728833.0
20230614,대전광역시,외지인방문자(b),187016.0
20230614,대전광역시,외국인방문자(c),542.0
20230615,대전광역시,현지인방문자(a),726226.0
20230615,대전광역시,외지인방문자(b),191888.0
20230615,대전광역시,외국인방문자(c),618.0
20230616,대전광역시,현지인방문자(a),729852.0
20230616,대전광역시,외지인방문자(b),222212.0
20230616,대전광역시,외국인방문자(c),547.0
20230617,대전광역시,현지인방문자(a),652208.0
20230617,대전광역시,외지인방문자(b),312109.0
20230617,대전광역시,외국인방문자(c),514.0
20230618,대전광역시,현지인방문자(a),635282.0
20230618,대전광역시,외지인방문자(b),262552.0
20230618,대전광역시,외국인방문자(c),535.0
20230619,대전광역시,현지인방문자(a),713083.0
20230619,대전광역시,외지인방문자(b),192297.0
20230619,대전광역시,외국인방문자(c),585.0
20230620,대전광역시,현지인방문자(a),715771.0
20230620,대전광역시,외지인방문자(b),222022.0
20230620,대전광역시,외국인방문자(c),638.0
20230621,대전광역시,현지인방문자(a),714920.0
20230621,대전광역시,외지인방문자(b),206178.0
20230621,대전광역시,외국인방문자(c),618.0
20230622,대전광역시,현지인방문자(a),714035.0
20230622,대전광역시,외지인방문자(b),210592.0
20230622,대전광역시,외국인방문자(c),563.0
20230623,대전광역시,현지인방문자(a),714952.0
20230623,대전광역시,외지인방문자(b),234675.0
20230623,대전광역시,외국인방문자(c),526.0
20230624,대전광역시,현지인방문자(a),638869.0
20230624,대전광역시,외지인방문자(b),316438.0
20230624,대전광역시,외국인방문자(c),486.0
20230625,대전광역시,현지인방문자(a),621974.0
20230625,대전광역시,외지인방문자(b),263074.0
20230625,대전광역시,외국인방문자(c),554.0
20230626,대전광역시,현지인방문자(a),688954.0
20230626,대전광역시,외지인방문자(b),197918.0
20230626,대전광역시,외국인방문자(c),603.0
20230627,대전광역시,현지인방문자(a),705145.0
20230627,대전광역시,외지인방문자(b),211348.0
20230627,대전광역시,외국인방문자(c),652.0
20230628,대전광역시,현지인방문자(a),707938.0
20230628,대전광역시,외지인방문자(b),213388.0
20230628,대전광역시,외국인방문자(c),658.0
20230629,대전광역시,현지인방문자(a),688261.0
20230629,대전광역시,외지인방문자(b),208288.0
20230629,대전광역시,외국인방문자(c),685.0
20230630,대전광역시,현지인방문자(a),709544.0
20230630,대전광역시,외지인방문자(b),239421.0
20230630,대전광역시,외국인방문자(c),615.0
20230601,대전광역시,외부방문자(b+c),157613.0
20230602,대전광역시,외부방문자(b+c),190949.0
20230603,대전광역시,외부방문자(b+c),286555.0
20230604,대전광역시,외부방문자(b+c),259086.0
20230605,대전광역시,외부방문자(b+c),202759.0
20230606,대전광역시,외부방문자(b+c),206871.0
20230607,대전광역시,외부방문자(b+c),160710.0
