기준년월,광역지자체,방문자 구분,방문자 수
20230501,부산광역시,현지인방문자(a),1595601.0
20230501,부산광역시,외지인방문자(b),375200.0
20230501,부산광역시,외국인방문자(c),5606.0
20230502,부산광역시,현지인방문자(a),1673942.0
20230502,부산광역시,외지인방문자(b),279170.0
20230502,부산광역시,외국인방문자(c),6125.0
20230503,부산광역시,현지인방문자(a),1676332.0
20230503,부산광역시,외지인방문자(b),292302.0
20230503,부산광역시,외국인방문자(c),5910.0
20230504,부산광역시,현지인방문자(a),1673500.0
20230504,부산광역시,외지인방문자(b),351190.0
20230504,부산광역시,외국인방문자(c),6722.0
20230505,부산광역시,현지인방문자(a),1422106.0
20230505,부산광역시,외지인방문자(b),479290.0
20230505,부산광역시,외국인방문자(c),5342.0
20230506,부산광역시,현지인방문자(a),1455934.0
20230506,부산광역시,외지인방문자(b),576065.0
20230506,부산광역시,외국인방문자(c),5189.0
20230507,부산광역시,현지인방문자(a),1454131.0
20230507,부산광역시,외지인방문자(b),497116.0
20230507,부산광역시,외국인방문자(c),4385.0
20230508,부산광역시,현지인방문자(a),1685926.0
20230508,부산광역시,외지인방문자(b),316295.0
20230508,부산광역시,외국인방문자(c),4527.0
20230509,부산광역시,현지인방문자(a),1676798.0
20230509,부산광역시,외지인방문자(b),303978.0
20230509,부산광역시,외국인방문자(c),4739.0
20230510,부산광역시,현지인방문자(a),1687192.0
20230510,부산광역시,외지인방문자(b),316022.0
20230510,부산광역시,외국인방문자(c),4765.0
20230511,부산광역시,현지인방문자(a),1673539.0
20230511,부산광역시,외지인방문자(b),328178.0
20230511,부산광역시,외국인방문자(c),5001.0
20230512,부산광역시,현지인방문자(a),1683549.0
20230512,부산광역시,외지인방문자(b),374388.0
20230512,부산광역시,외국인방문자(c),6391.0
20230513,부산광역시,현지인방문자(a),1517856.0
20230513,부산광역시,외지인방문자(b),484712.0
20230513,부산광역시,외국인방문자(c),4828.0
20230514,부산광역시,현지인방문자(a),1495784.0
20230514,부산광역시,외지인방문자(b),457233.0
20230514,부산광역시,외국인방문자(c),4895.0
20230515,부산광역시,현지인방문자(a),1670655.0
20230515,부산광역시,외지인방문자(b),323158.0
20230515,부산광역시,외국인방문자(c),4725.0
20230516,부산광역시,현지인방문자(a),1670858.0
20230516,부산광역시,외지인방문자(b),323222.0
20230516,부산광역시,외국인방문자(c),4816.0
20230517,부산광역시,현지인방문자(a),1681449.0
20230517,부산광역시,외지인방문자(b),334460.0
20230517,부산광역시,외국인방문자(c),4842.0
20230518,부산광역시,현지인방문자(a),1631304.0
20230518,부산광역시,외지인방문자(b),329704.0
20230518,부산광역시,외국인방문자(c),4764.0
20230519,부산광역시,현지인방문자(a),1676290.0
20230519,부산광역시,외지인방문자(b),393512.0
20230519,부산광역시,외국인방문자(c),5252.0
20230520,부산광역시,현지인방문자(a),1554035.0
20230520,부산광역시,외지인방문자(b),530694.0
20230520,부산광역시,외국인방문자(c),4665.0
20230521,부산광역시,현지인방문자(a),1498424.0
20230521,부산광역시,외지인방문자(b),481666.0
20230521,부산광역시,외국인방문자(c),5674.0
20230522,부산광역시,현지인방문자(a),1655003.0
20230522,부산광역시,외지인방문자(b),337984.0
20230522,부산광역시,외국인방문자(c),4464.0
20230523,부산광역시,현지인방문자(a),1660446.0
20230523,부산광역시,외지인방문자(b),342626.0
20230523,부산광역시,외국인방문자(c),4718.0
20230524,부산광역시,현지인방문자(a),1672881.0
20230524,부산광역시,외지인방문자(b),348432.0
20230524,부산광역시,외국인방문자(c),5122.0
20230525,부산광역시,현지인방문자(a),1665251.0
20230525,부산광역시,외지인방문자(b),365936.0
20230525,부산광역시,외국인방문자(c),5168.0
