기준년월,광역지자체,방문자 구분,방문자 수
20240501,서울특별시,현지인방문자(a),4169672.0
20240501,서울특별시,외지인방문자(b),1288290.0
20240501,서울특별시,외국인방문자(c),57549.0
20240502,서울특별시,현지인방문자(a),4439250.0
20240502,서울특별시,외지인방문자(b),1317572.0
20240502,서울특별시,외국인방문자(c),63219.0
20240503,서울특별시,현지인방문자(a),4450722.0
20240503,서울특별시,외지인방문자(b),1496782.0
20240503,서울특별시,외국인방문자(c),68855.0
20240504,서울특별시,현지인방문자(a),3764758.0
20240504,서울특별시,외지인방문자(b),1951898.0
20240504,서울특별시,외국인방문자(c),67600.0
20240505,서울특별시,현지인방문자(a),3460121.0
20240505,서울특별시,외지인방문자(b),1626023.0
20240505,서울특별시,외국인방문자(c),59204.0
20240506,서울특별시,현지인방문자(a),3611870.0
20240506,서울특별시,외지인방문자(b),1355585.0
20240506,서울특별시,외국인방문자(c),46546.0
20240507,서울특별시,현지인방문자(a),4376236.0
20240507,서울특별시,외지인방문자(b),1267000.0
20240507,서울특별시,외국인방문자(c),41343.0
20240508,서울특별시,현지인방문자(a),4508430.0
20240508,서울특별시,외지인방문자(b),1379063.0
20240508,서울특별시,외국인방문자(c),38463.0
20240509,서울특별시,현지인방문자(a),4453130.0
20240509,서울특별시,외지인방문자(b),1426467.0
20240509,서울특별시,외국인방문자(c),40360.0
20240510,서울특별시,현지인방문자(a),4502491.0
20240510,서울특별시,외지인방문자(b),1588587.0
20240510,서울특별시,외국인방문자(c),43513.0
20240511,서울특별시,현지인방문자(a),3831345.0
20240511,서울특별시,외지인방문자(b),1858017.0
20240511,서울특별시,외국인방문자(c),44365.0
20240512,서울특별시,현지인방문자(a),3836539.0
20240512,서울특별시,외지인방문자(b),1629954.0
20240512,서울특별시,외국인방문자(c),43478.0
20240513,서울특별시,현지인방문자(a),4416416.0
20240513,서울특별시,외지인방문자(b),1380981.0
20240513,서울특별시,외국인방문자(c),41823.0
20240514,서울특별시,현지인방문자(a),4491165.0
20240514,서울특별시,외지인방문자(b),1538520.0
20240514,서울특별시,외국인방문자(c),41461.0
20240515,서울특별시,현지인방문자(a),3763998.0
20240515,서울특별시,외지인방문자(b),1409709.0
20240515,서울특별시,외국인방문자(c),41128.0
20240516,서울특별시,현지인방문자(a),4427255.0
20240516,서울특별시,외지인방문자(b),1464981.0
20240516,서울특별시,외국인방문자(c),43535.0
20240517,서울특별시,현지인방문자(a),4463242.0
20240517,서울특별시,외지인방문자(b),1637412.0
20240517,서울특별시,외국인방문자(c),47168.0
20240518,서울특별시,현지인방문자(a),3924214.0
20240518,서울특별시,외지인방문자(b),2031054.0
20240518,서울특별시,외국인방문자(c),49003.0
20240519,서울특별시,현지인방문자(a),3835772.0
20240519,서울특별시,외지인방문자(b),1683574.0
20240519,서울특별시,외국인방문자(c),47880.0
20240520,서울특별시,현지인방문자(a),4386778.0
20240520,서울특별시,외지인방문자(b),1424409.0
20240520,서울특별시,외국인방문자(c),46291.0
20240521,서울특별시,현지인방문자(a),4447468.0
20240521,서울특별시,외지인방문자(b),1500496.0
20240521,서울특별시,외국인방문자(c),46438.0
20240522,서울특별시,현지인방문자(a),4485212.0
20240522,서울특별시,외지인방문자(b),1552663.0
20240522,서울특별시,외국인방문자(c),48262.0
20240523,서울특별시,현지인방문자(a),4470960.0
20240523,서울특별시,외지인방문자(b),1594453.0
20240523,서울특별시,외국인방문자(c),49277.0
20240524,서울특별시,현지인방문자(a),4505151.0
20240524,서울특별시,외지인방문자(b),1739675.0
20240524,서울특별시,외국인방문자(c),52515.0
20240525,서울특별시,현지인방문자(a),3952420.0
20240525,서울특별시,외지인방문자(b),2179415.0
20240525,서울특별시,외국인방문자(c),53982.0
20240526,서울특별시,현지인방문자(a),3746260.0
20240526,서울특별시,외지인방문자(b),1736231.0
20240526,서울특별시,외국인방문자(c),53267.0
20240527,서울특별시,현지인방문자(a),4433846.0
20240527,서울특별시,외지인방문자(b),1515087.0
20240527,서울특별시,외국인방문자(c),50772.0
20240528,서울특별시,현지인방문자(a),4468048.0
20240528,서울특별시,외지인방문자(b),1558935.0
20240528,서울특별시,외국인방문자(c),50027.0
20240529,서울특별시,현지인방문자(a),4484081.0
20240529,서울특별시,외지인방문자(b),1601666.0
20240529,서울특별시,외국인방문자(c),51710.0
20240530,서울특별시,현지인방문자(a),4469458.0
20240530,서울특별시,외지인방문자(b),1629330.0
20240530,서울특별시,외국인방문자(c),52535.0
20240531,서울특별시,현지인방문자(a),4511874.0
20240531,서울특별시,외지인방문자(b),1773188.0
20240531,서울특별시,외국인방문자(c),54532.0
20240501,서울특별시,외부방문자(b+c),1345840.0
20240502,서울특별시,외부방문자(b+c),1380791.0
20240503,서울특별시,외부방문자(b+c),1565637.0
20240504,서울특별시,외부방문자(b+c),2019497.0
20240505,서울특별시,외부방문자(b+c),1685227.0
20240506,서울특별시,외부방문자(b+c),1402131.0
20240507,서울특별시,외부방문자(b+c),1308343.0
20240508,서울특별시,외부방문자(b+c),1417526.0
20240509,서울특별시,외부방문자(b+c),1466827.0
20240510,서울특별시,외부방문자(b+c),1632100.0
20240511,서울특별시,외부방문자(b+c),1902382.0
20240512,서울특별시,외부방문자(b+c),1673432.0
20240513,서울특별시,외부방문자(b+c),1422804.0
20240514,서울특별시,외부방문자(b+c),1579981.0
20240515,서울특별시,외부방문자(b+c),1450837.0
20240516,서울특별시,외부방문자(b+c),1508516.0
20240517,서울특별시,외부방문자(b+c),1684580.0
20240518,서울특별시,외부방문자(b+c),2080057.0
20240519,서울특별시,외부방문자(b+c),1731454.0
20240520,서울특별시,외부방문자(b+c),1470700.0
20240521,서울특별시,외부방문자(b+c),1546933.0
20240522,서울특별시,외부방문자(b+c),1600925.0
20240523,서울특별시,외부방문자(b+c),1643730.0
20240524,서울특별시,외부방문자(b+c),1792190.0
20240525,서울특별시,외부방문자(b+c),2233397.0
20240526,서울특별시,외부방문자(b+c),1789498.0
20240527,서울특별시,외부방문자(b+c),1565859.0
20240528,서울특별시,외부방문자(b+c),1608962.0
20240529,서울특별시,외부방문자(b+c),1653377.0
20240530,서울특별시,외부방문자(b+c),1681866.0
20240531,서울특별시,외부방문자(b+c),1827720.0
20240501,서울특별시,전체방문자(a+b+c),5515512.0
20240502,서울특별시,전체방문자(a+b+c),5820040.0
20240503,서울특별시,전체방문자(a+b+c),6016359.0
20240504,서울특별시,전체방문자(a+b+c),5784255.0
20240505,서울특별시,전체방문자(a+b+c),5145348.0
20240506,서울특별시,전체방문자(a+b+c),5014002.0
20240507,서울특별시,전체방문자(a+b+c),5684579.0
