기준일,자료_기준일,제목,서울_수,한양도성_수
20230701,20190504,따릉이,771493,31423
20230701,20230513,버스 승차,3993830,218217
20230701,20230513,버스 하차,3896707,209705
20230701,20230513,지하철 승차,5216359,449386
20230701,20230513,지하철 하차,5190252,462793
20230702,20190505,따릉이,792143,29455
20230702,20230514,버스 승차,3059344,169970
20230702,20230514,버스 하차,2984160,158453
20230702,20230514,지하철 승차,3764954,298901
20230702,20230514,지하철 하차,3745496,301635
20230703,20190506,따릉이,842812,32416
20230703,20230515,버스 승차,5106682,265957
20230703,20230515,버스 하차,4990012,256717
20230703,20230515,지하철 승차,6537124,566345
20230703,20230515,지하철 하차,6512964,574886
20230704,20190507,따릉이,612788,29386
20230704,20230516,버스 승차,5161104,241054
20230704,20230516,버스 하차,5041872,246805
20230704,20230516,지하철 승차,6741414,613407
20230704,20230516,지하철 하차,6716740,605602
20230705,20190501,따릉이,782578,30908
20230705,20230517,버스 승차,5184823,245227
20230705,20230517,버스 하차,5064382,243394
20230705,20230517,지하철 승차,6781483,616961
20230705,20230517,지하철 하차,6756334,615432
20230706,20190502,따릉이,666739,29009
20230706,20230518,버스 승차,5107276,266690
20230706,20230518,버스 하차,4988335,257319
20230706,20230518,지하철 승차,6637585,582136
20230706,20230518,지하철 하차,6612603,593546
20230707,20190503,따릉이,665858,32260
20230707,20230519,버스 승차,5323688,280306
20230707,20230519,버스 하차,5197132,273099
20230707,20230519,지하철 승차,7027215,629808
20230707,20230519,지하철 하차,6999078,642727
20230708,20190504,따릉이,771493,31423
20230708,20230513,버스 승차,3993830,218217
20230708,20230513,버스 하차,3896707,209705
20230708,20230513,지하철 승차,5216359,449386
20230708,20230513,지하철 하차,5190252,462793
20230709,20190505,따릉이,792143,29455
20230709,20230514,버스 승차,3059344,169970
20230709,20230514,버스 하차,2984160,158453
20230709,20230514,지하철 승차,3764954,298901
20230709,20230514,지하철 하차,3745496,301635
20230710,20190506,따릉이,842812,32416
20230710,20230515,버스 승차,5106682,265957
20230710,20230515,버스 하차,4990012,256717
20230710,20230515,지하철 승차,6537124,566345
20230710,20230515,지하철 하차,6512964,574886
20230711,20190507,따릉이,612788,29386
20230711,20230516,버스 승차,5161104,241054
20230711,20230516,버스 하차,5041872,246805
20230711,20230516,지하철 승차,6741414,613407
20230711,20230516,지하철 하차,6716740,605602
20230712,20190501,따릉이,782578,30908
20230712,20230517,버스 승차,5184823,245227
20230712,20230517,버스 하차,5064382,243394
20230712,20230517,지하철 승차,6781483,616961
20230712,20230517,지하철 하차,6756334,615432
20230713,20190502,따릉이,666739,29009
20230713,20230518,버스 승차,5107276,266690
20230713,20230518,버스 하차,4988335,257319
20230713,20230518,지하철 승차,6637585,582136
20230713,20230518,지하철 하차,6612603,593546
20230714,20190503,따릉이,665858,32260
20230714,20230519,버스 승차,5323688,280306
20230714,20230519,버스 하차,5197132,273099
20230714,20230519,지하철 승차,7027215,629808
20230714,20230519,지하철 하차,6999078,642727
20230715,20190504,따릉이,771493,31423
20230715,20230513,버스 승차,3993830,218217
20230715,20230513,버스 하차,3896707,209705
20230715,20230513,지하철 승차,5216359,449386
20230715,20230513,지하철 하차,5190252,462793
20230716,20190505,따릉이,792143,29455
20230716,20230514,버스 승차,3059344,169970
20230716,20230514,버스 하차,2984160,158453
20230716,20230514,지하철 승차,3764954,298901
20230716,20230514,지하철 하차,3745496,301635
20230717,20190506,따릉이,842812,32416
20230717,20230515,버스 승차,5106682,265957
20230717,20230515,버스 하차,4990012,256717
20230717,20230515,지하철 승차,6537124,566345
20230717,20230515,지하철 하차,6512964,574886
20230718,20190507,따릉이,612788,29386
20230718,20230516,버스 승차,5161104,241054
20230718,20230516,버스 하차,5041872,246805
20230718,20230516,지하철 승차,6741414,613407
20230718,20230516,지하철 하차,6716740,605602
20230719,20190501,따릉이,782578,30908
20230719,20230517,버스 승차,5184823,245227
20230719,20230517,버스 하차,5064382,243394
20230719,20230517,지하철 승차,6781483,616961
20230719,20230517,지하철 하차,6756334,615432
20230720,20190502,따릉이,666739,29009
20230720,20230518,버스 승차,5107276,266690
20230720,20230518,버스 하차,4988335,257319
20230720,20230518,지하철 승차,6637585,582136
20230720,20230518,지하철 하차,6612603,593546
20230721,20190503,따릉이,665858,32260
20230721,20230519,버스 승차,5323688,280306
20230721,20230519,버스 하차,5197132,273099
20230721,20230519,지하철 승차,7027215,629808
20230721,20230519,지하철 하차,6999078,642727
20230722,20190504,따릉이,771493,31423
20230722,20230513,버스 승차,3993830,218217
20230722,20230513,버스 하차,3896707,209705
20230722,20230513,지하철 승차,5216359,449386
20230722,20230513,지하철 하차,5190252,462793
20230723,20190505,따릉이,792143,29455
20230723,20230514,버스 승차,3059344,169970
20230723,20230514,버스 하차,2984160,158453
20230723,20230514,지하철 승차,3764954,298901
20230723,20230514,지하철 하차,3745496,301635
20230724,20190506,따릉이,842812,32416
20230724,20230515,버스 승차,5106682,265957
20230724,20230515,버스 하차,4990012,256717
20230724,20230515,지하철 승차,6537124,566345
20230724,20230515,지하철 하차,6512964,574886
20230725,20190507,따릉이,612788,29386
20230725,20230516,버스 승차,5161104,241054
20230725,20230516,버스 하차,5041872,246805
20230725,20230516,지하철 승차,6741414,613407
20230725,20230516,지하철 하차,6716740,605602
20230726,20190501,따릉이,782578,30908
20230726,20230517,버스 승차,5184823,245227
20230726,20230517,버스 하차,5064382,243394
20230726,20230517,지하철 승차,6781483,616961
20230726,20230517,지하철 하차,6756334,615432
20230727,20190502,따릉이,666739,29009
20230727,20230518,버스 승차,5107276,266690
20230727,20230518,버스 하차,4988335,257319
20230727,20230518,지하철 승차,6637585,582136
20230727,20230518,지하철 하차,6612603,593546
20230728,20190503,따릉이,665858,32260
20230728,20230519,버스 승차,5323688,280306
20230728,20230519,버스 하차,5197132,273099
20230728,20230519,지하철 승차,7027215,629808
20230728,20230519,지하철 하차,6999078,642727
20230729,20190504,따릉이,771493,31423
20230729,20230513,버스 승차,3993830,218217
20230729,20230513,버스 하차,3896707,209705
20230729,20230513,지하철 승차,5216359,449386
20230729,20230513,지하철 하차,5190252,462793
20230730,20190505,따릉이,792143,29455
20230730,20230514,버스 승차,3059344,169970
20230730,20230514,버스 하차,2984160,158453
20230730,20230514,지하철 승차,3764954,298901
20230730,20230514,지하철 하차,3745496,301635
20230731,20190506,따릉이,842812,32416
20230731,20230515,버스 승차,5106682,265957
20230731,20230515,버스 하차,4990012,256717
20230731,20230515,지하철 승차,6537124,566345
20230731,20230515,지하철 하차,6512964,574886
