시도,시군구,일,택시 승차량
서울특별시,종로구,2022-01-01,20345
서울특별시,중구,2022-01-01,24543
서울특별시,용산구,2022-01-01,28056
서울특별시,성동구,2022-01-01,20698
서울특별시,광진구,2022-01-01,23681
서울특별시,동대문구,2022-01-01,23059
서울특별시,중랑구,2022-01-01,21487
서울특별시,성북구,2022-01-01,17698
서울특별시,강북구,2022-01-01,15369
서울특별시,도봉구,2022-01-01,14754
서울특별시,노원구,2022-01-01,25285
서울특별시,은평구,2022-01-01,19740
서울특별시,서대문구,2022-01-01,16778
서울특별시,마포구,2022-01-01,31497
서울특별시,양천구,2022-01-01,17458
서울특별시,강서구,2022-01-01,29510
서울특별시,구로구,2022-01-01,18682
서울특별시,금천구,2022-01-01,12624
서울특별시,영등포구,2022-01-01,37016
서울특별시,동작구,2022-01-01,13944
서울특별시,관악구,2022-01-01,22327
서울특별시,서초구,2022-01-01,35526
서울특별시,강남구,2022-01-01,76891
서울특별시,송파구,2022-01-01,42185
서울특별시,강동구,2022-01-01,25371
서울특별시,종로구,2022-02-01,20655
서울특별시,중구,2022-02-01,24604
서울특별시,용산구,2022-02-01,28119
서울특별시,성동구,2022-02-01,20880
서울특별시,광진구,2022-02-01,24010
서울특별시,동대문구,2022-02-01,22981
서울특별시,중랑구,2022-02-01,21402
서울특별시,성북구,2022-02-01,17799
서울특별시,강북구,2022-02-01,15247
서울특별시,도봉구,2022-02-01,14574
서울특별시,노원구,2022-02-01,25251
서울특별시,은평구,2022-02-01,19768
서울특별시,서대문구,2022-02-01,16956
서울특별시,마포구,2022-02-01,31612
서울특별시,양천구,2022-02-01,17601
서울특별시,강서구,2022-02-01,29577
서울특별시,구로구,2022-02-01,18640
서울특별시,금천구,2022-02-01,12564
서울특별시,영등포구,2022-02-01,36702
서울특별시,동작구,2022-02-01,14162
서울특별시,관악구,2022-02-01,22987
서울특별시,서초구,2022-02-01,36028
서울특별시,강남구,2022-02-01,78174
서울특별시,송파구,2022-02-01,41960
서울특별시,강동구,2022-02-01,25139
서울특별시,종로구,2022-03-01,21809
서울특별시,중구,2022-03-01,25803
서울특별시,용산구,2022-03-01,28793
서울특별시,성동구,2022-03-01,21821
서울특별시,광진구,2022-03-01,24469
서울특별시,동대문구,2022-03-01,23287
서울특별시,중랑구,2022-03-01,21536
서울특별시,성북구,2022-03-01,18383
서울특별시,강북구,2022-03-01,15449
서울특별시,도봉구,2022-03-01,14508
서울특별시,노원구,2022-03-01,25272
서울특별시,은평구,2022-03-01,19702
서울특별시,서대문구,2022-03-01,17197
서울특별시,마포구,2022-03-01,32859
서울특별시,양천구,2022-03-01,17591
서울특별시,강서구,2022-03-01,29993
서울특별시,구로구,2022-03-01,18925
서울특별시,금천구,2022-03-01,12704
서울특별시,영등포구,2022-03-01,37806
서울특별시,동작구,2022-03-01,14700
서울특별시,관악구,2022-03-01,23720
서울특별시,서초구,2022-03-01,37763
서울특별시,강남구,2022-03-01,82482
서울특별시,송파구,2022-03-01,43355
서울특별시,강동구,2022-03-01,25354
서울특별시,종로구,2022-04-01,25137
서울특별시,중구,2022-04-01,29229
서울특별시,용산구,2022-04-01,33031
서울특별시,성동구,2022-04-01,24454
서울특별시,광진구,2022-04-01,27805
서울특별시,동대문구,2022-04-01,25648
서울특별시,중랑구,2022-04-01,23709
서울특별시,성북구,2022-04-01,20498
서울특별시,강북구,2022-04-01,17611
서울특별시,도봉구,2022-04-01,16076
서울특별시,노원구,2022-04-01,28493
서울특별시,은평구,2022-04-01,21754
서울특별시,서대문구,2022-04-01,19260
서울특별시,마포구,2022-04-01,38686
서울특별시,양천구,2022-04-01,19114
서울특별시,강서구,2022-04-01,33886
서울특별시,구로구,2022-04-01,20664
서울특별시,금천구,2022-04-01,13835
서울특별시,영등포구,2022-04-01,42533
서울특별시,동작구,2022-04-01,16103
서울특별시,관악구,2022-04-01,25716
서울특별시,서초구,2022-04-01,42218
서울특별시,강남구,2022-04-01,89740
서울특별시,송파구,2022-04-01,49570
서울특별시,강동구,2022-04-01,27970
서울특별시,종로구,2022-05-01,25898
서울특별시,중구,2022-05-01,29208
서울특별시,용산구,2022-05-01,34182
서울특별시,성동구,2022-05-01,24018
서울특별시,광진구,2022-05-01,28602
서울특별시,동대문구,2022-05-01,26089
서울특별시,중랑구,2022-05-01,24533
서울특별시,성북구,2022-05-01,21068
서울특별시,강북구,2022-05-01,18289
서울특별시,도봉구,2022-05-01,16541
서울특별시,노원구,2022-05-01,29902
서울특별시,은평구,2022-05-01,22052
서울특별시,서대문구,2022-05-01,19451
서울특별시,마포구,2022-05-01,40174
서울특별시,양천구,2022-05-01,19241
서울특별시,강서구,2022-05-01,34619
서울특별시,구로구,2022-05-01,20853
서울특별시,금천구,2022-05-01,13719
서울특별시,영등포구,2022-05-01,41898
서울특별시,동작구,2022-05-01,15772
서울특별시,관악구,2022-05-01,25893
서울특별시,서초구,2022-05-01,41856
서울특별시,강남구,2022-05-01,88316
서울특별시,송파구,2022-05-01,49661
서울특별시,강동구,2022-05-01,28540
서울특별시,종로구,2022-06-01,24694
서울특별시,중구,2022-06-01,28371
서울특별시,용산구,2022-06-01,33368
서울특별시,성동구,2022-06-01,22644
서울특별시,광진구,2022-06-01,27394
서울특별시,동대문구,2022-06-01,25094
서울특별시,중랑구,2022-06-01,23832
서울특별시,성북구,2022-06-01,19740
서울특별시,강북구,2022-06-01,17913
서울특별시,도봉구,2022-06-01,16352
서울특별시,노원구,2022-06-01,29475
서울특별시,은평구,2022-06-01,21682
서울특별시,서대문구,2022-06-01,18499
서울특별시,마포구,2022-06-01,38818
서울특별시,양천구,2022-06-01,18667
서울특별시,강서구,2022-06-01,34194
서울특별시,구로구,2022-06-01,20454
서울특별시,금천구,2022-06-01,13406
서울특별시,영등포구,2022-06-01,39895
서울특별시,동작구,2022-06-01,14767
서울특별시,관악구,2022-06-01,24535
서울특별시,서초구,2022-06-01,39887
서울특별시,강남구,2022-06-01,85637
서울특별시,송파구,2022-06-01,47944
서울특별시,강동구,2022-06-01,28189
서울특별시,종로구,2022-07-01,23329
서울특별시,중구,2022-07-01,27605
서울특별시,용산구,2022-07-01,32760
서울특별시,성동구,2022-07-01,21857
서울특별시,광진구,2022-07-01,26694
서울특별시,동대문구,2022-07-01,24229
서울특별시,중랑구,2022-07-01,23144
서울특별시,성북구,2022-07-01,18586
서울특별시,강북구,2022-07-01,17591
서울특별시,도봉구,2022-07-01,16091
서울특별시,노원구,2022-07-01,28745
서울특별시,은평구,2022-07-01,21173
서울특별시,서대문구,2022-07-01,17684
서울특별시,마포구,2022-07-01,38100
서울특별시,양천구,2022-07-01,18310
서울특별시,강서구,2022-07-01,33299
서울특별시,구로구,2022-07-01,19868
서울특별시,금천구,2022-07-01,13099
서울특별시,영등포구,2022-07-01,39171
서울특별시,동작구,2022-07-01,14073
서울특별시,관악구,2022-07-01,23628
서울특별시,서초구,2022-07-01,38467
서울특별시,강남구,2022-07-01,83623
서울특별시,송파구,2022-07-01,46802
서울특별시,강동구,2022-07-01,27726
서울특별시,종로구,2022-08-01,22238
서울특별시,중구,2022-08-01,26292
서울특별시,용산구,2022-08-01,31356
서울특별시,성동구,2022-08-01,20933
서울특별시,광진구,2022-08-01,25795
서울특별시,동대문구,2022-08-01,23388
서울특별시,중랑구,2022-08-01,22120
서울특별시,성북구,2022-08-01,17632
서울특별시,강북구,2022-08-01,16743
서울특별시,도봉구,2022-08-01,15441
서울특별시,노원구,2022-08-01,27315
서울특별시,은평구,2022-08-01,19867
서울특별시,서대문구,2022-08-01,16970
서울특별시,마포구,2022-08-01,36536
서울특별시,양천구,2022-08-01,17429
서울특별시,강서구,2022-08-01,32207
서울특별시,구로구,2022-08-01,19066
