"행정구역","2022년01월_총인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년02월_총인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년03월_총인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년04월_총인구수","2022년04월_세대수","2022년04월_세대당 인구","2022년05월_총인구수","2022년05월_세대수","2022년05월_세대당 인구","2022년06월_총인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년07월_총인구수","2022년07월_세대수","2022년07월_세대당 인구","2022년08월_총인구수","2022년08월_세대수","2022년08월_세대당 인구","2022년09월_총인구수","2022년09월_세대수","2022년09월_세대당 인구","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년11월_총인구수","2022년11월_세대수","2022년11월_세대당 인구","2022년12월_총인구수","2022년12월_세대수","2022년12월_세대당 인구","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년03월_총인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년04월_총인구수","2023년04월_세대수","2023년04월_세대당 인구","2023년05월_총인구수","2023년05월_세대수","2023년05월_세대당 인구","2023년06월_총인구수","2023년06월_세대수","2023년06월_세대당 인구","2023년07월_총인구수","2023년07월_세대수","2023년07월_세대당 인구","2023년08월_총인구수","2023년08월_세대수","2023년08월_세대당 인구","2023년09월_총인구수","2023년09월_세대수","2023년09월_세대당 인구","2023년10월_총인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년11월_총인구수","2023년11월_세대수","2023년11월_세대당 인구","2023년12월_총인구수","2023년12월_세대수","2023년12월_세대당 인구","2024년01월_총인구수","2024년01월_세대수","2024년01월_세대당 인구","2024년02월_총인구수","2024년02월_세대수","2024년02월_세대당 인구","2024년03월_총인구수","2024년03월_세대수","2024년03월_세대당 인구","2024년04월_총인구수","2024년04월_세대수","2024년04월_세대당 인구","2024년05월_총인구수","2024년05월_세대수","2024년05월_세대당 인구","2024년06월_총인구수","2024년06월_세대수","2024년06월_세대당 인구","2024년07월_총인구수","2024년07월_세대수","2024년07월_세대당 인구","2024년08월_총인구수","2024년08월_세대수","2024년08월_세대당 인구","2024년09월_총인구수","2024년09월_세대수","2024년09월_세대당 인구","2024년10월_총인구수","2024년10월_세대수","2024년10월_세대당 인구"
"대구광역시  (2700000000)","2,383,858","1,064,438","          2.24","2,381,095","1,065,477","          2.23","2,380,494","1,068,557","          2.23","2,378,573","1,069,411","          2.22","2,376,676","1,070,212","          2.22","2,375,306","1,070,705","          2.22","2,374,120","1,071,366","          2.22","2,371,936","1,072,018","          2.21","2,367,735","1,070,482","          2.21","2,366,852","1,070,874","          2.21","2,365,619","1,070,839","          2.21","2,363,691","1,070,873","          2.21","2,362,880","1,071,182","          2.21","2,360,662","1,072,255","          2.20","2,358,988","1,073,400","          2.20","2,357,881","1,074,370","          2.19","2,357,032","1,075,529","          2.19","2,356,416","1,076,379","          2.19","2,379,086","1,091,073","          2.18","2,378,464","1,091,990","          2.18","2,377,801","1,092,536","          2.18","2,376,978","1,092,922","          2.17","2,376,044","1,093,499","          2.17","2,374,960","1,094,148","          2.17","2,373,844","1,094,529","          2.17","2,372,008","1,095,812","          2.16","2,369,962","1,097,169","          2.16","2,368,670","1,098,201","          2.16","2,367,803","1,099,465","          2.15","2,367,183","1,100,317","          2.15","2,366,660","1,101,110","          2.15","2,366,033","1,101,929","          2.15","2,365,523","1,102,902","          2.14","2,364,892","1,103,045","          2.14"
"대구광역시 중구 (2711000000)","74,786","38,415","          1.95","74,710","38,485","          1.94","75,704","38,989","          1.94","77,842","39,913","          1.95","78,703","40,289","          1.95","78,984","40,377","          1.96","79,014","40,398","          1.96","78,923","40,349","          1.96","78,768","40,186","          1.96","79,241","40,414","          1.96","79,722","40,554","          1.97","80,199","40,749","          1.97","81,015","41,163","          1.97","81,791","41,518","          1.97","82,835","42,037","          1.97","83,438","42,325","          1.97","83,702","42,468","          1.97","83,945","42,582","          1.97","85,296","43,214","          1.97","86,210","43,650","          1.98","86,714","43,916","          1.97","87,387","44,197","          1.98","87,998","44,439","          1.98","89,064","44,871","          1.98","89,685","45,209","          1.98","90,242","45,516","          1.98","90,561","45,765","          1.98","90,953","45,964","          1.98","91,902","46,352","          1.98","92,659","46,666","          1.99","93,338","46,963","          1.99","94,087","47,259","          1.99","94,808","47,578","          1.99","95,749","47,940","          2.00"
"대구광역시 동구 (2714000000)","341,710","158,708","          2.15","341,730","159,020","          2.15","341,498","159,077","          2.15","341,142","159,221","          2.14","341,070","159,446","          2.14","341,126","159,570","          2.14","340,847","159,585","          2.14","340,440","159,541","          2.13","340,171","159,413","          2.13","340,213","159,551","          2.13","340,050","159,565","          2.13","339,530","159,422","          2.13","339,236","159,368","          2.13","338,610","159,365","          2.12","338,782","159,627","          2.12","338,820","159,865","          2.12","339,677","160,454","          2.12","339,988","160,720","          2.12","340,568","161,108","          2.11","341,800","161,740","          2.11","342,476","162,098","          2.11","342,627","162,298","          2.11","343,031","162,554","          2.11","342,813","162,691","          2.11","342,703","162,840","          2.10","342,161","162,923","          2.10","341,918","162,995","          2.10","342,302","163,393","          2.09","342,874","163,943","          2.09","343,248","164,334","          2.09","343,392","164,495","          2.09","343,463","164,783","          2.08","343,398","164,950","          2.08","343,137","164,867","          2.08"
"대구광역시 서구 (2717000000)","164,127","82,231","          2.00","163,588","82,132","          1.99","163,042","82,008","          1.99","162,325","81,771","          1.99","161,790","81,656","          1.98","161,542","81,622","          1.98","161,928","81,856","          1.98","161,802","81,854","          1.98","161,169","81,517","          1.98","160,802","81,411","          1.98","160,343","81,246","          1.97","159,827","81,116","          1.97","159,420","81,019","          1.97","158,968","80,960","          1.96","158,546","80,886","          1.96","158,907","81,175","          1.96","159,646","81,623","          1.96","159,908","81,819","          1.95","159,603","81,747","          1.95","159,255","81,679","          1.95","159,896","82,020","          1.95","161,149","82,606","          1.95","163,028","83,483","          1.95","164,088","83,949","          1.95","164,513","84,189","          1.95","164,734","84,366","          1.95","164,457","84,361","          1.95","164,069","84,251","          1.95","163,606","84,125","          1.94","163,359","84,068","          1.94","162,903","83,913","          1.94","162,557","83,813","          1.94","163,463","84,290","          1.94","163,741","84,448","          1.94"
"대구광역시 남구 (2720000000)","142,753","76,108","          1.88","142,558","76,102","          1.87","142,437","76,375","          1.86","141,805","76,195","          1.86","141,520","76,179","          1.86","141,285","76,153","          1.86","141,586","76,317","          1.86","141,643","76,424","          1.85","141,590","76,326","          1.86","141,822","76,458","          1.85","141,773","76,455","          1.85","141,519","76,401","          1.85","141,547","76,438","          1.85","141,762","76,575","          1.85","141,631","76,613","          1.85","141,640","76,715","          1.85","141,577","76,714","          1.85","141,212","76,592","          1.84","140,768","76,471","          1.84","140,497","76,349","          1.84","140,404","76,333","          1.84","140,132","76,207","          1.84","139,664","76,051","          1.84","139,187","75,887","          1.83","138,806","75,729","          1.83","138,480","75,685","          1.83","138,140","75,669","          1.83","137,566","75,443","          1.82","137,147","75,333","          1.82","136,893","75,300","          1.82","136,582","75,213","          1.82","136,311","75,101","          1.82","135,957","75,003","          1.81","135,510","74,794","          1.81"
"대구광역시 북구 (2723000000)","437,023","191,251","          2.29","436,613","191,571","          2.28","437,284","193,063","          2.26","436,386","193,046","          2.26","435,869","193,185","          2.26","435,131","193,026","          2.25","434,250","192,883","          2.25","433,551","192,947","          2.25","432,558","192,708","          2.24","432,087","192,692","          2.24","431,703","192,785","          2.24","430,912","192,697","          2.24","430,056","192,331","          2.24","429,014","192,326","          2.23","428,117","192,368","          2.23","427,120","192,193","          2.22","426,202","192,245","          2.22","426,284","192,580","          2.21","425,718","192,659","          2.21","424,831","192,586","          2.21","423,657","192,326","          2.20","422,571","192,066","          2.20","420,972","191,653","          2.20","419,624","191,349","          2.19","418,563","190,928","          2.19","417,347","190,852","          2.19","416,725","191,094","          2.18","416,439","191,340","          2.18","416,574","191,764","          2.17","416,442","191,989","          2.17","416,109","192,068","          2.17","415,551","192,178","          2.16","414,883","192,154","          2.16","414,217","192,000","          2.16"
"대구광역시 수성구 (2726000000)","416,706","171,288","          2.43","416,496","171,549","          2.43","415,829","171,789","          2.42","415,694","171,998","          2.42","415,306","172,201","          2.41","414,917","172,281","          2.41","414,439","172,297","          2.41","413,675","172,244","          2.40","412,775","171,895","          2.40","412,302","171,782","          2.40","411,794","171,546","          2.40","411,553","171,480","          2.40","411,330","171,479","          2.40","410,761","171,571","          2.39","409,977","171,509","          2.39","409,419","171,471","          2.39","408,697","171,335","          2.39","408,238","171,299","          2.38","407,697","171,298","          2.38","407,190","171,331","          2.38","406,915","171,306","          2.38","406,802","171,334","          2.37","407,004","171,619","          2.37","407,331","171,939","          2.37","408,260","172,450","          2.37","409,114","173,144","          2.36","408,943","173,419","          2.36","408,899","173,616","          2.36","408,593","173,752","          2.35","408,311","173,764","          2.35","408,215","173,900","          2.35","408,353","174,048","          2.35","408,477","174,262","          2.34","408,932","174,436","          2.34"
"대구광역시 달서구 (2729000000)","544,366","234,907","          2.32","543,469","235,076","          2.31","542,328","235,374","          2.30","540,693","235,134","          2.30","539,528","234,979","          2.30","539,024","235,090","          2.29","538,838","235,359","          2.29","538,727","235,828","          2.28","537,705","235,612","          2.28","537,179","235,591","          2.28","536,927","235,564","          2.28","536,989","235,883","          2.28","537,140","236,185","          2.27","537,040","236,709","          2.27","536,483","236,967","          2.26","535,656","236,971","          2.26","534,465","236,794","          2.26","533,810","236,791","          2.25","533,248","236,819","          2.25","532,496","236,834","          2.25","531,782","236,717","          2.25","530,737","236,483","          2.24","529,085","235,997","          2.24","527,781","235,685","          2.24","526,576","235,455","          2.24","525,741","235,622","          2.23","525,600","236,211","          2.23","525,496","236,632","          2.22","524,736","236,719","          2.22","524,284","236,806","          2.21","524,448","237,204","          2.21","524,445","237,490","          2.21","523,712","237,522","          2.20","523,183","237,456","          2.20"
"대구광역시 달성군 (2771000000)","262,387","111,530","          2.35","261,931","111,542","          2.35","262,372","111,882","          2.35","262,686","112,133","          2.34","262,890","112,277","          2.34","263,297","112,586","          2.34","263,218","112,671","          2.34","263,175","112,831","          2.33","262,999","112,825","          2.33","263,206","112,975","          2.33","263,307","113,124","          2.33","263,162","113,125","          2.33","263,136","113,199","          2.32","262,716","113,231","          2.32","262,617","113,393","          2.32","262,881","113,655","          2.31","263,066","113,896","          2.31","263,031","113,996","          2.31","263,023","114,071","          2.31","263,055","114,159","          2.30","262,850","114,169","          2.30","262,525","114,105","          2.30","262,243","114,097","          2.30","262,084","114,189","          2.30","261,808","114,163","          2.29","261,317","114,161","          2.29","260,800","114,126","          2.29","260,152","114,041","          2.28","259,619","113,962","          2.28","259,280","113,883","          2.28","259,024","113,872","          2.27","258,693","113,795","          2.27","258,267","113,684","          2.27","257,924","113,678","          2.27"
"대구광역시 군위군 (2772000000)","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","0","0","          0.00","23,165","13,686","          1.69","23,130","13,662","          1.69","23,107","13,651","          1.69","23,048","13,626","          1.69","23,019","13,606","          1.69","22,988","13,588","          1.69","22,930","13,566","          1.69","22,872","13,543","          1.69","22,818","13,529","          1.69","22,794","13,521","          1.69","22,752","13,515","          1.68","22,707","13,507","          1.68","22,649","13,482","          1.68","22,573","13,462","          1.68","22,558","13,459","          1.68","22,499","13,426","          1.68"
