"행정구역","2022년01월_총인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년02월_총인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년03월_총인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년04월_총인구수","2022년04월_세대수","2022년04월_세대당 인구","2022년05월_총인구수","2022년05월_세대수","2022년05월_세대당 인구","2022년06월_총인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년07월_총인구수","2022년07월_세대수","2022년07월_세대당 인구","2022년08월_총인구수","2022년08월_세대수","2022년08월_세대당 인구","2022년09월_총인구수","2022년09월_세대수","2022년09월_세대당 인구","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년11월_총인구수","2022년11월_세대수","2022년11월_세대당 인구","2022년12월_총인구수","2022년12월_세대수","2022년12월_세대당 인구","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년03월_총인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년04월_총인구수","2023년04월_세대수","2023년04월_세대당 인구","2023년05월_총인구수","2023년05월_세대수","2023년05월_세대당 인구","2023년06월_총인구수","2023년06월_세대수","2023년06월_세대당 인구","2023년07월_총인구수","2023년07월_세대수","2023년07월_세대당 인구","2023년08월_총인구수","2023년08월_세대수","2023년08월_세대당 인구","2023년09월_총인구수","2023년09월_세대수","2023년09월_세대당 인구","2023년10월_총인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년11월_총인구수","2023년11월_세대수","2023년11월_세대당 인구","2023년12월_총인구수","2023년12월_세대수","2023년12월_세대당 인구","2024년01월_총인구수","2024년01월_세대수","2024년01월_세대당 인구","2024년02월_총인구수","2024년02월_세대수","2024년02월_세대당 인구","2024년03월_총인구수","2024년03월_세대수","2024년03월_세대당 인구","2024년04월_총인구수","2024년04월_세대수","2024년04월_세대당 인구","2024년05월_총인구수","2024년05월_세대수","2024년05월_세대당 인구","2024년06월_총인구수","2024년06월_세대수","2024년06월_세대당 인구","2024년07월_총인구수","2024년07월_세대수","2024년07월_세대당 인구","2024년08월_총인구수","2024년08월_세대수","2024년08월_세대당 인구","2024년09월_총인구수","2024년09월_세대수","2024년09월_세대당 인구","2024년10월_총인구수","2024년10월_세대수","2024년10월_세대당 인구"
"부산광역시  (2600000000)","3,348,874","1,546,414","          2.17","3,347,396","1,549,967","          2.16","3,343,504","1,551,767","          2.15","3,340,214","1,553,032","          2.15","3,338,167","1,555,326","          2.15","3,336,737","1,556,938","          2.14","3,334,595","1,558,052","          2.14","3,331,444","1,559,462","          2.14","3,323,826","1,555,449","          2.14","3,322,286","1,556,293","          2.13","3,320,276","1,555,836","          2.13","3,317,812","1,555,867","          2.13","3,316,107","1,556,086","          2.13","3,315,516","1,559,593","          2.13","3,313,539","1,561,008","          2.12","3,311,402","1,561,666","          2.12","3,309,261","1,562,595","          2.12","3,306,993","1,563,362","          2.12","3,305,052","1,564,252","          2.11","3,302,740","1,564,900","          2.11","3,300,836","1,565,115","          2.11","3,298,213","1,564,546","          2.11","3,295,496","1,564,199","          2.11","3,293,362","1,564,588","          2.10","3,290,964","1,564,763","          2.10","3,289,401","1,567,409","          2.10","3,287,292","1,569,084","          2.10","3,284,947","1,569,293","          2.09","3,282,751","1,569,954","          2.09","3,280,749","1,570,212","          2.09","3,278,280","1,570,545","          2.09","3,275,593","1,570,760","          2.09","3,273,473","1,570,953","          2.08","3,271,062","1,570,658","          2.08"
"부산광역시 중구 (2611000000)","40,537","23,979","          1.69","40,582","24,129","          1.68","40,596","24,218","          1.68","40,585","24,269","          1.67","40,537","24,303","          1.67","40,455","24,304","          1.66","40,342","24,275","          1.66","40,297","24,265","          1.66","40,117","24,107","          1.66","39,936","24,056","          1.66","39,840","24,012","          1.66","39,689","23,960","          1.66","39,627","23,965","          1.65","39,711","24,123","          1.65","39,589","24,099","          1.64","39,478","24,061","          1.64","39,411","24,066","          1.64","39,311","24,040","          1.64","39,151","23,983","          1.63","39,060","23,931","          1.63","38,956","23,874","          1.63","38,831","23,798","          1.63","38,723","23,766","          1.63","38,619","23,747","          1.63","38,476","23,729","          1.62","38,487","23,829","          1.62","38,463","23,824","          1.61","38,385","23,819","          1.61","38,248","23,772","          1.61","38,174","23,751","          1.61","38,090","23,735","          1.60","37,976","23,705","          1.60","37,904","23,694","          1.60","37,736","23,621","          1.60"
"부산광역시 서구 (2614000000)","104,863","52,853","          1.98","104,618","52,900","          1.98","104,323","52,895","          1.97","103,961","52,822","          1.97","103,810","52,852","          1.96","104,340","53,109","          1.96","104,755","53,342","          1.96","105,386","53,667","          1.96","105,380","53,621","          1.97","105,358","53,657","          1.96","105,286","53,648","          1.96","105,192","53,626","          1.96","105,036","53,592","          1.96","104,952","53,689","          1.95","104,798","53,670","          1.95","104,738","53,640","          1.95","104,570","53,593","          1.95","104,449","53,542","          1.95","104,299","53,519","          1.95","104,304","53,521","          1.95","104,251","53,510","          1.95","104,268","53,590","          1.95","104,192","53,657","          1.94","104,089","53,630","          1.94","103,889","53,521","          1.94","103,694","53,551","          1.94","103,525","53,534","          1.93","103,289","53,458","          1.93","103,138","53,394","          1.93","102,983","53,365","          1.93","102,859","53,344","          1.93","102,915","53,397","          1.93","103,197","53,580","          1.93","103,337","53,673","          1.93"
"부산광역시 동구 (2617000000)","87,906","46,597","          1.89","88,245","46,829","          1.88","88,283","46,938","          1.88","88,257","46,970","          1.88","88,222","47,024","          1.88","88,087","47,052","          1.87","87,851","46,982","          1.87","87,701","47,011","          1.87","87,103","46,553","          1.87","86,948","46,535","          1.87","86,670","46,402","          1.87","86,462","46,349","          1.87","86,349","46,322","          1.86","85,988","46,224","          1.86","85,839","46,196","          1.86","85,629","46,162","          1.85","85,520","46,152","          1.85","86,809","46,797","          1.86","87,721","47,279","          1.86","88,027","47,445","          1.86","88,069","47,503","          1.85","88,008","47,466","          1.85","87,910","47,471","          1.85","87,792","47,428","          1.85","87,619","47,383","          1.85","87,460","47,413","          1.84","87,275","47,389","          1.84","87,170","47,375","          1.84","86,973","47,354","          1.84","86,820","47,311","          1.84","86,719","47,275","          1.83","86,497","47,210","          1.83","86,308","47,120","          1.83","86,151","47,064","          1.83"
"부산광역시 영도구 (2620000000)","110,425","54,609","          2.02","109,991","54,560","          2.02","109,660","54,518","          2.01","109,407","54,478","          2.01","109,460","54,650","          2.00","109,395","54,700","          2.00","109,327","54,725","          2.00","109,131","54,711","          1.99","108,699","54,474","          2.00","108,505","54,440","          1.99","108,294","54,362","          1.99","108,156","54,342","          1.99","107,964","54,304","          1.99","107,783","54,322","          1.98","107,632","54,335","          1.98","107,454","54,299","          1.98","107,209","54,248","          1.98","107,006","54,218","          1.97","107,143","54,342","          1.97","107,103","54,409","          1.97","107,003","54,425","          1.97","106,816","54,373","          1.96","106,701","54,325","          1.96","106,548","54,293","          1.96","106,335","54,249","          1.96","106,233","54,309","          1.96","106,108","54,364","          1.95","105,864","54,312","          1.95","105,668","54,267","          1.95","105,434","54,167","          1.95","105,136","54,105","          1.94","104,914","54,052","          1.94","104,661","53,973","          1.94","104,278","53,837","          1.94"
"부산광역시 부산진구 (2623000000)","352,462","173,327","          2.03","351,764","173,496","          2.03","351,154","173,573","          2.02","351,022","173,947","          2.02","350,977","174,306","          2.01","350,999","174,624","          2.01","351,436","175,150","          2.01","351,682","175,696","          2.00","351,125","175,448","          2.00","353,568","176,765","          2.00","355,302","177,576","          2.00","355,917","178,049","          2.00","356,361","178,397","          2.00","357,345","179,307","          1.99","357,626","179,744","          1.99","357,615","179,949","          1.99","357,762","180,263","          1.98","357,475","180,383","          1.98","357,296","180,514","          1.98","357,196","180,664","          1.98","358,316","181,219","          1.98","359,329","181,565","          1.98","359,712","181,807","          1.98","359,508","181,914","          1.98","360,053","182,417","          1.97","360,881","183,261","          1.97","361,264","183,826","          1.97","361,320","183,993","          1.96","361,459","184,283","          1.96","361,970","184,639","          1.96","361,820","184,721","          1.96","361,668","184,796","          1.96","361,437","184,863","          1.96","360,740","184,557","          1.95"
"부산광역시 동래구 (2626000000)","270,338","117,211","          2.31","273,802","118,748","          2.31","274,134","119,112","          2.30","273,976","119,227","          2.30","273,996","119,446","          2.29","274,491","119,772","          2.29","274,769","120,011","          2.29","274,638","119,984","          2.29","274,136","119,696","          2.29","273,790","119,629","          2.29","273,447","119,508","          2.29","273,226","119,503","          2.29","273,177","119,557","          2.28","273,351","119,887","          2.28","273,195","119,963","          2.28","273,034","119,980","          2.28","272,797","120,032","          2.27","272,590","120,060","          2.27","272,376","120,056","          2.27","272,176","120,076","          2.27","271,877","119,933","          2.27","271,670","119,841","          2.27","271,504","119,814","          2.27","270,815","119,706","          2.26","269,784","119,440","          2.26","269,350","119,497","          2.25","269,036","119,481","          2.25","268,872","119,528","          2.25","268,851","119,577","          2.25","269,105","119,755","          2.25","269,048","119,824","          2.25","268,976","119,850","          2.24","269,086","119,959","          2.24","271,639","120,971","          2.25"
"부산광역시 남구 (2629000000)","261,209","117,619","          2.22","260,624","117,815","          2.21","260,581","118,153","          2.21","260,617","118,406","          2.20","260,261","118,544","          2.20","259,735","118,480","          2.19","259,135","118,358","          2.19","258,660","118,468","          2.18","257,934","118,179","          2.18","257,147","117,964","          2.18","256,647","117,707","          2.18","256,333","117,601","          2.18","256,190","117,668","          2.18","256,371","118,209","          2.17","256,332","118,462","          2.16","256,257","118,556","          2.16","256,133","118,686","          2.16","255,786","118,673","          2.16","255,392","118,641","          2.15","255,095","118,641","          2.15","254,599","118,470","          2.15","254,455","118,390","          2.15","254,469","118,495","          2.15","254,185","118,427","          2.15","254,348","118,473","          2.15","255,107","119,141","          2.14","255,470","119,660","          2.13","255,629","119,893","          2.13","255,597","119,954","          2.13","255,816","120,102","          2.13","255,774","120,157","          2.13","255,480","120,126","          2.13","255,387","120,134","          2.13","255,096","120,050","          2.12"
"부산광역시 북구 (2632000000)","282,535","123,247","          2.29","281,749","123,263","          2.29","281,198","123,286","          2.28","280,852","123,330","          2.28","280,647","123,469","          2.27","280,511","123,579","          2.27","280,268","123,626","          2.27","280,116","123,788","          2.26","279,964","123,761","          2.26","279,770","123,831","          2.26","279,303","123,693","          2.26","278,857","123,569","          2.26","278,575","123,569","          2.25","278,059","123,568","          2.25","277,756","123,573","          2.25","277,390","123,532","          2.25","276,982","123,510","          2.24","276,684","123,558","          2.24","276,316","123,504","          2.24","275,670","123,417","          2.23","274,961","123,253","          2.23","274,481","123,164","          2.23","274,072","123,077","          2.23","273,596","123,082","          2.22","272,932","123,062","          2.22","272,315","123,020","          2.21","271,932","123,025","          2.21","271,525","122,975","          2.21","271,211","123,027","          2.20","270,824","122,992","          2.20","270,327","122,927","          2.20","269,827","122,867","          2.20","269,446","122,794","          2.19","268,650","122,603","          2.19"
"부산광역시 해운대구 (2635000000)","395,788","172,327","          2.30","394,792","172,279","          2.29","393,809","172,227","          2.29","393,130","172,217","          2.28","392,110","172,126","          2.28","391,311","171,960","          2.28","390,782","172,005","          2.27","389,841","171,837","          2.27","388,393","170,998","          2.27","387,840","170,828","          2.27","387,297","170,637","          2.27","386,785","170,435","          2.27","386,289","170,261","          2.27","385,516","170,331","          2.26","384,866","170,251","          2.26","384,335","170,185","          2.26","384,036","170,221","          2.26","383,355","170,143","          2.25","383,042","170,207","          2.25","382,448","170,087","          2.25","382,115","170,022","          2.25","381,466","169,820","          2.25","381,031","169,633","          2.25","380,448","169,532","          2.24","379,702","169,375","          2.24","378,753","169,282","          2.24","378,063","169,193","          2.23","377,664","169,165","          2.23","377,060","169,067","          2.23","376,782","169,102","          2.23","377,122","169,499","          2.22","377,250","169,707","          2.22","377,184","169,827","          2.22","376,621","169,697","          2.22"
